Natural Electric LLC,,,,
Clewiston Expense 2,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
Fuel,,,,
,Taxes,02/21/2020,Payroll Check,$76.33
,Taxes,02/21/2020,Payroll Check,$223.22
,Taxes,03/06/2020,Payroll Check,$103.54
,Taxes,03/06/2020,Payroll Check,$90.16
,Taxes,03/06/2020,Payroll Check,$50.88
,Taxes,03/06/2020,Payroll Check,$52.00
,Taxes,03/06/2020,Payroll Check,$75.98
,Taxes,03/06/2020,Payroll Check,$166.22
,Taxes,03/06/2020,Payroll Check,$63.71
,Taxes,04/03/2020,Payroll Check,$49.57
,Taxes,04/03/2020,Payroll Check,$89.75
,Taxes,04/03/2020,Payroll Check,$102.84
,Taxes,04/03/2020,Payroll Check,$68.10
,Taxes,04/03/2020,Payroll Check,$140.30
,Taxes,04/17/2020,Payroll Check,$58.62
,Taxes,04/17/2020,Payroll Check,$125.26
,Taxes,04/17/2020,Payroll Check,$97.49
,Taxes,04/17/2020,Payroll Check,$48.48
,Taxes,05/15/2020,Payroll Check,$71.91
,Taxes,05/15/2020,Payroll Check,$226.75
,Taxes,05/15/2020,Payroll Check,$147.33
,Taxes,05/15/2020,Payroll Check,$72.42
,Taxes,05/29/2020,Payroll Check,$79.13
,Taxes,05/29/2020,Payroll Check,$78.52
,Taxes,05/29/2020,Payroll Check,$150.62
,Taxes,05/29/2020,Payroll Check,$280.59
,Taxes,06/01/2020,Payroll Check,$19.58
,Taxes,06/12/2020,Payroll Check,$102.33
,Taxes,06/12/2020,Payroll Check,$52.88
,Taxes,06/12/2020,Payroll Check,$140.96
,Taxes,06/12/2020,Payroll Check,$64.28
,Taxes,07/10/2020,Payroll Check,$168.99
,Taxes,07/10/2020,Payroll Check,$17.56
,Taxes,07/10/2020,Payroll Check,$8.13
,Taxes,07/10/2020,Payroll Check,$140.87
,Taxes,07/24/2020,Payroll Check,$48.31
,Taxes,07/24/2020,Payroll Check,$115.86
,Taxes,07/24/2020,Payroll Check,$155.53
,Taxes,07/24/2020,Payroll Check,$133.69
,Taxes,07/24/2020,Payroll Check,$35.64
,Taxes,07/24/2020,Payroll Check,$76.80
,Taxes,07/24/2020,Payroll Check,$16.35
,Taxes,07/24/2020,Payroll Check,$48.12
,Taxes,07/24/2020,Payroll Check,$47.71
,Taxes,08/07/2020,Payroll Check,$18.48
,Taxes,08/21/2020,Payroll Check,$7.69
,Taxes,09/18/2020,Payroll Check,$27.72
,Taxes,10/16/2020,Payroll Check,$16.38
,Taxes,12/24/2020,Payroll Check,$56.80
,Taxes,12/24/2020,Payroll Check,$13.92
,Taxes,01/08/2021,Payroll Check,$73.00
Total for Taxes,,,,"$9,032.16"
Total for 66000 Payroll Expenses with sub-accounts,,,,"$122,073.47"
,,,,"$125,798.65"

"Accrual Basis Monday, October 14, 2024 01:47 AM GMTZ",,,,
